'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003922', 'ERP016937', 'A combination of biochar-mineral complexes and compost improves soil bacterial processes, soil quality, and plant properties'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003869', 'ERP016591', 'A decade of seasonal dynamics and co-occurrences within freshwater bacterioplankton communities from eutrophic Lake Mendota, WI, USA'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003917', 'ERP021540', 'Agricultural intensification and the functional capacity of soil microbes on smallholder African farms - kakamenga'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003921', 'ERP021545', 'Agricultural intensification and the functional capacity of soil microbes on smallholder African farms -swkenya'
'root:Environmental:Aquatic:Marine:Sediment', 'MGYS00003855', 'ERP021691', 'Anaerobic ammonium-oxidizing bacteria in marine environments: widespread occurrence but low diversity'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003962', 'ERP016854', 'Bacterial Community Spatial and Temporal Variation in a North Temperate Bog Lake'
'root:Environmental:Aquatic:Marine:Coastal', 'MGYS00003867', 'ERP016464', 'Bergen Ocean Acidification Mesocosms'
'root:Environmental:Aquatic:Sediment', 'MGYS00003687', 'ERP016496', 'Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles'
'root:Environmental:Aquatic:Marine:Oceanic:Sediment', 'MGYS00003806', 'ERP020587', 'Biogeographical distribution and diversity of microbes in methane hydrate-bearing deep marine sediments on the Pacific Ocean Margin'
'root:Environmental:Aquatic:Marine:Sediment', 'MGYS00003809', 'ERP017221', 'Bioturbating shrimp alter the structure and diversity of bacterial communities in coastal marine sediments'
'root:Host-associated:Birds', 'MGYS00003666', 'ERP016455', 'Bird Egg Shells from Spain'
'root:Environmental:Aquatic:Marine:Hydrothermal vents', 'MGYS00003909', 'ERP016395', 'Brazelton LostCity chimney biofilm'
'root:Environmental:Terrestrial:Soil', 'MGYS00003754', 'ERP016586', 'Brazilian Antarctic cleanup 16S'
'root:Environmental:Terrestrial:Soil', 'MGYS00003807', 'ERP020023', 'Canadian MetaMicroBiome Initiative samples from'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003708', 'ERP016405', 'Catchment sources of microbes'
'root:Environmental:Aquatic:Marine', 'MGYS00003780', 'ERP020022', 'Catlin Arctic Survey 2010 L3'
'root:Environmental:Terrestrial:Soil', 'MGYS00003769', 'ERP016926', 'Chu Changbai mountain soil'
'root:Host-associated:Plants', 'MGYS00003677', 'ERP021895', 'Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography'
'root:Host-associated:Mammals:Digestive system:Fecal', 'MGYS00002673', 'ERP003782', 'Convergence of gut microbiomes in myrmecophagous mammals'
'root:Environmental:Aquatic:Marine', 'MGYS00003750', 'ERP016541', 'Defining seasonal marine microbial community dynamics'
'root:Environmental:Terrestrial:Soil', 'MGYS00003759', 'ERP016735', 'Distinct microbial communities associated with buried soils in the Siberian tundra.'
'root:Environmental:Aquatic:Marine:Oceanic:Sediment', 'MGYS00003810', 'ERP016412', 'Diversity of carbonate deposits and basement rocks in continental and marine serpentinite seeps.'
'root:Host-associated:Insecta', 'MGYS00003800', 'ERP023686', 'Dominguez sleep deprived flies'
'root:Environmental:Terrestrial:Soil:Desert', 'MGYS00003786', 'ERP020560', 'Environmental metagenomic interrogation of Thar desert microbial communities'
'root:Host-associated:Human:Digestive system', 'MGYS00003911', 'ERP016451', 'Ercolini whole grain feces'
'root:Environmental:Aquatic', 'MGYS00003852', 'ERP017176', 'Examination of Microbial Communities through a Freshwater/saltwater Transition Zone in Cenotes, Yucatan, Mexico'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003785', 'ERP020539', 'Exploring links between pH and bacterial community composition in soils from the Craibstone Experimental Farm.'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003670', 'ERP016483', 'Ezenwa Cape Buffalo'
'root:Environmental:Terrestrial:Soil', 'MGYS00003916', 'ERP016927', 'Friedman Alaska peat soils'
'root:Host-associated:Birds:Digestive system', 'MGYS00003681', 'ERP016414', 'Garcia bird gut microbiome'
'root:Environmental:Aquatic:Sediment', 'MGYS00003699', 'ERP016880', 'Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau'
'root:Environmental:Aquatic:Freshwater:Sediment', 'MGYS00003851', 'ERP016468', 'Gibbons tongue river 16S'
'root:Mixed', 'MGYS00003957', 'ERP020884', 'Global patterns of 16S rRNA diversity at a depth of millions of sequences per sample - 3 prime'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003864', 'ERP016492', 'Great Lake Microbiome'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003951', 'ERP016384', 'Gut microbiome of hibernating bears'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003923', 'ERP016131', 'Gut microbiota of phyllostomid bats that span a breadth of diets'
'root:Mixed', 'MGYS00003765', 'ERP016883', 'Halophilic Communities as a Source for Novel Lignocellulolytic Enzymes'
'root:Mixed', 'MGYS00003698', 'ERP016879', 'Hawaii Kohala Volcanic Soils'
'root:Environmental:Terrestrial:Soil:Loam:Agricultural', 'MGYS00003963', 'ERP020589', 'Influence of tillage practices on soil microbial diversity and activity in a long-term corn experimental field under continuous maize production'
'root:Environmental:Terrestrial:Soil:Sand:Oil-contaminated', 'MGYS00003812', 'ERP017438', 'Jurelivicius Antarctic cleanup'
'root:Mixed', 'MGYS00003854', 'ERP020591', 'Kilauea geothermal soils and biofilms'
'root:Host-associated:Animal', 'MGYS00003925', 'ERP022166', 'Knight skin biogeography comparison'
'root:Environmental:Terrestrial:Soil', 'MGYS00003865', 'ERP016592', 'Laboratory Directed Research and Development Biological Carbon Sequestration'
'root:Host-associated:Algae', 'MGYS00003973', 'ERP021699', 'Latitudinal surveys of algal-associated microorganisms'
'root:Environmental:Terrestrial:Soil', 'MGYS00003691', 'ERP016587', 'Long Term Soil Productivity project'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003961', 'ERP022245', 'Long-term seasonal development in selected lakes of Northeast Germany'
'root:Mixed', 'MGYS00003659', 'ERP005806', 'Longitudinal analysis of microbial interaction between humans and the indoor environment'
'root:Environmental:Terrestrial:Soil', 'MGYS00003853', 'ERP017220', 'magnificent mongolian microbes'
'root:Environmental:Terrestrial:Soil:Tropical rainforest', 'MGYS00003918', 'ERP021541', 'Malaysia Lambir Soils'
'root:Environmental:Terrestrial:Soil:Tropical rainforest', 'MGYS00003919', 'ERP021542', 'Malaysia Pasoh Landuse Logged Forest'
'root:Environmental:Aquatic:Marine:Coastal', 'MGYS00003868', 'ERP016542', 'Marine CDOM accumulation during a coastal Arctic mesocosm experiment: No response to elevated pCO2 levels'
'root:Host-associated:Mammals', 'MGYS00003913', 'ERP016924', 'Marine mammal skin microbiomes'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003793', 'ERP021543', 'McGuire Nicaragua coffee soil'
'root:Environmental:Aquatic:Marine:Oil-contaminated sediment', 'MGYS00001524', 'ERP016581', 'Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill'
'root:Environmental:Terrestrial:Soil:Permafrost', 'MGYS00003862', 'ERP016588', 'Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?'
'root:Mixed', 'MGYS00003673', 'ERP016900', 'Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle'
'root:Mixed', 'MGYS00003937', 'ERP017459', 'Microbial diversity in arctic freshwaters is structured by inoculation of microbes from soils'
'root:Host-associated:Insecta', 'MGYS00003705', 'ERP016607', 'Microbiome of honey bees from Puerto Rico'
'root:Environmental:Aquatic:Marine:Sediment', 'MGYS00003914', 'ERP016923', 'Mission Bay Sediment Viromes'
'root:Host-associated:Human', 'MGYS00002184', 'ERP021896', 'Moving pictures of the human microbiome'
'root:Environmental:Terrestrial:Soil:Forest soil', 'MGYS00003861', 'ERP016746', 'Myrold Alder Fir'
'root:Environmental:Terrestrial:Soil', 'MGYS00003688', 'ERP016539', 'Myrold Oregon transect'
'root:Environmental:Terrestrial:Soil', 'MGYS00003813', 'ERP020590', 'NEON: Directions and resources for long-term monitoring in soil microbial ecology'
'root:Environmental:Terrestrial:Soil', 'MGYS00003772', 'ERP017166', 'New Zealand Free Air Carbon dioxide Enrichment soil samples'
'root:Environmental:Terrestrial:Soil', 'MGYS00003920', 'ERP021544', 'Panama Precip Grad Soil'
'root:Host-associated:Birds', 'MGYS00003706', 'ERP016469', 'Peralta starlings'
'root:Environmental:Aquatic:Marine:Coastal:Sediment', 'MGYS00003866', 'ERP016557', 'Polluted Polar Coastal Sediments'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003814', 'ERP020021', 'Prokaryote populations of extant microbialites along a depth gradient in Pavilion Lake, British Columbia, Canada'
'root:Environmental:Aquatic:Freshwater:Ice:Glacial lake', 'MGYS00003783', 'ERP020508', 'Protist diversity in a permanently ice-covered Antarctic Lake during the polar night transition'
'root:Host-associated:Mammals', 'MGYS00003707', 'ERP016472', 'Puerto Rico and Plantanal'
'root:Environmental:Terrestrial:Soil', 'MGYS00003912', 'ERP016869', 'Recovery of biological soil crust-like microbial communities in previously submerged soils of Glen canyon'
'root:Environmental:Aquatic:Marine:Hydrothermal vents', 'MGYS00003773', 'ERP017174', 'Rees Vulcano island MedSea'
'root:Mixed', 'MGYS00003811', 'ERP020510', 'Replicating the microbial community and water quality performance of full-scale slow sand filters in laboratory-scale filters.'
'root:Mixed', 'MGYS00003863', 'ERP016734', 'Rio de Janeiro Coastline'
'root:Environmental:Aquatic:Marine:Oceanic', 'MGYS00003946', 'ERP016287', 'Seyler North Atlantic water column'
'root:Mixed', 'MGYS00003748', 'ERP016495', 'Song Colorado freshwater fish'
'root:Host-associated:Mammals', 'MGYS00003952', 'ERP016491', 'Song whitehead bats'
'root:Environmental:Terrestrial:Soil', 'MGYS00003858', 'ERP016752', 'Spatial scale drives patterns in soil bacterial diversity.'
'root:Environmental:Terrestrial:Soil', 'MGYS00003860', 'ERP016543', 'Spatial variation in arctic soil microbial communities in fire impacted permafrost ecosystems'
'root:Host-associated:Animal:Digestive system:Fecal', 'MGYS00003684', 'ERP016466', 'Spirito monensin cow hindgut'
'root:Environmental:Terrestrial:Soil', 'MGYS00003870', 'ERP016852', 'Temple TX native exotic precip study'
'root:Mixed', 'MGYS00003798', 'ERP021864', 'The ecological dichotomy of ammonia-oxidizing archaea and bacteria in the hyper-arid soils of the Antarctic Dry Valleys (NZTABS)'
'root:Host-associated:Mammals:Digestive system:Fecal', 'MGYS00003871', 'ERP016286', 'The gut microbiota distinguishes GI-healthy and -unhealthy captive colobineprimates'
'root:Host-associated:Mammals:Digestive system:Fecal', 'MGYS00003977', 'ERP016329', 'The gut microbiota distinguishes GI-healthy and -unhealthy captive colobineprimates - Hale folivorous primates (HiSeq)'
'root:Host-associated:Mammals:Digestive system:Fecal', 'MGYS00003950', 'ERP016285', 'The gut microbiota distinguishes GI-healthy and -unhealthy captive colobineprimates - Hale folivorous primates (MiSeq)'
'root:Mixed', 'MGYS00003924', 'ERP016252', 'The oral and skin microbiomes of captive Komodo Dragons are significantly shared with their habitat.'
'root:Mixed', 'MGYS00003808', 'ERP020507', 'The role of macrobiota in structuring microbial communities along rocky shores'
'root:Mixed', 'MGYS00003859', 'ERP016540', 'Understanding Cultivar-Specificity and Soil Determinants of the Cannabis Microbiome'
'root:Environmental:Terrestrial:Soil', 'MGYS00003915', 'ERP016925', 'Urban stress is associated with variation in microbial species composition, but not richness, in Manhattan'
'root:Mixed', 'MGYS00003856', 'ERP016416', 'Viral communities associated with algal/coral interactions'
'root:Host-associated:Human:Digestive system:Oral:Saliva', 'MGYS00003857', 'ERP016748', 'Whole-grain wheat consumption reduces inflammation in a randomized controlled trial on overweight and obese subjects with unhealthy dietary and lifestyle behaviors: role of polyphenols bound to cereal dietary fiber'